2024-04-25 16:04:43,720 - Episode: 210/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 16:04:49,147 - Episode: 211/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 16:04:54,845 - Episode: 212/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 16:05:00,308 - Episode: 213/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 16:05:05,737 - Episode: 214/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-25 16:05:11,475 - Episode: 215/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:05:17,091 - Episode: 216/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 16:05:22,780 - Episode: 217/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 16:05:28,396 - Episode: 218/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 16:05:33,847 - Episode: 219/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:05:39,584 - Episode: 220/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 16:05:44,934 - Episode: 221/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-25 16:05:50,571 - Episode: 222/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-25 16:05:56,068 - Episode: 223/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 16:06:01,572 - Episode: 224/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-25 16:06:07,207 - Episode: 225/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-25 16:06:12,991 - Episode: 226/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-25 16:06:18,717 - Episode: 227/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-25 16:06:24,330 - Episode: 228/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-25 16:06:29,916 - Episode: 229/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 16:06:35,766 - Episode: 230/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 16:06:41,506 - Episode: 231/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 16:06:47,241 - Episode: 232/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-25 16:06:52,831 - Episode: 233/1000, Total Reward: -2.0999999999999996, Accuracy: 0.00
2024-04-25 16:06:58,568 - Episode: 234/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 16:07:04,081 - Episode: 235/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 16:07:09,873 - Episode: 236/1000, Total Reward: -4.000000000000001, Accuracy: 0.00
